"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","SERP impressions","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"кресло-чебурек","2019-07-01 - 2019-09-09","3.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","0.00","0.00","","",""
"чизкейк цена киров","2019-07-01 - 2019-09-09","3.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","2.00","0.00","0.00","13.00",""
"супчик доставка","2019-07-01 - 2019-09-09","3.00","1.00","33.33","3.33","3.00","0.00","0.00","0.00","","2.00","1.00","50.00","3.00","3.00","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"киров заказать еду","2019-07-01 - 2019-09-09","3.00","0.00","0.00","14.33","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","14.33",""
"кирова блины","2019-07-01 - 2019-09-09","3.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","10.00","","0.00","0.00","","",""
"чебуречные киров","2019-07-01 - 2019-09-09","3.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.00","","0.00","0.00","","",""
"цезарь еда киров","2019-07-01 - 2019-09-09","3.00","0.00","0.00","16.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","16.00",""
"горячая еда киров","2019-07-01 - 2019-09-09","3.00","0.00","0.00","5.33","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","5.33","","0.00","0.00","","",""
"кировский чебурек","2019-07-01 - 2019-09-09","3.00","0.00","0.00","6.67","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.67","","0.00","0.00","","",""
"пицца киров","2019-07-01 - 2019-09-09","3.00","0.00","0.00","11.33","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","2.00","0.00","0.00","12.00",""
"десерты киров доставка круглосуточно","2019-07-01 - 2019-09-09","3.00","1.00","33.33","1.33","1.00","0.00","2.00","1.00","50.00","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"кафе на калинина киров","2019-07-01 - 2019-09-09","3.00","0.00","0.00","3.33","","0.00","0.00","0.00","","2.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка вок лапши в кирове","2019-07-01 - 2019-09-09","3.00","0.00","0.00","8.67","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","1.00","0.00","0.00","14.00",""
"пивная тарелка закуска ижевск доставка","2019-07-01 - 2019-09-09","3.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"лучшие пельмени в кирове","2019-07-01 - 2019-09-09","3.00","0.00","0.00","8.33","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.33","","0.00","0.00","","",""
"пельмени ручной лепки где уни котельнич заказать кировская область","2019-07-01 - 2019-09-09","3.00","0.00","0.00","10.33","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","2.00","0.00","0.00","11.00",""
"удон киров заказать","2019-07-01 - 2019-09-09","3.00","1.00","33.33","7.00","5.00","0.00","0.00","0.00","","0.00","0.00","","","","3.00","1.00","33.33","7.00","5.00","0.00","0.00","","",""
"заказ еды киров вкусно","2019-07-01 - 2019-09-09","3.00","0.00","0.00","10.33","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","2.00","0.00","0.00","11.00",""
"чебуреки на заказ кировский рн спб","2019-07-01 - 2019-09-09","3.00","0.00","0.00","11.33","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","11.33",""
"чебуреки кирово-чепецк","2019-07-01 - 2019-09-09","3.00","0.00","0.00","12.33","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","2.00","0.00","0.00","14.00",""
"чебурек киров","2019-07-01 - 2019-09-09","3.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","0.00","0.00","","",""
"удон в кирове","2019-07-01 - 2019-09-09","3.00","0.00","0.00","8.67","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.67","","0.00","0.00","","",""
"вкусноблин киров доставка","2019-07-01 - 2019-09-09","3.00","0.00","0.00","5.67","","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","5.67","","0.00","0.00","","",""
"пельмени домашние в магазине кировский","2019-07-01 - 2019-09-09","2.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"город вожгалы кировская область мясные полуфабрикаты чебуреки","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.50","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"чебуреки доставка киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","5.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"доставка еды три медведя киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","28.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","28.00",""
"вкусная кухня заказ в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","12.50","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","16.00",""
"пильмеш киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","3.50","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка-еды-киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","14.00",""
"пельмени толмачев люкс","2019-07-01 - 2019-09-09","2.00","0.00","0.00","13.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","13.50",""
"киров заказ роллов на дом","2019-07-01 - 2019-09-09","2.00","0.00","0.00","34.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","34.00",""
"лапша с соевым соусом заказать домой","2019-07-01 - 2019-09-09","2.00","0.00","0.00","3.50","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"киров доставка еды от 400","2019-07-01 - 2019-09-09","2.00","0.00","0.00","15.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","15.00",""
"киров еда на дом","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.50","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"пельменная в кирове с доставкой","2019-07-01 - 2019-09-09","2.00","0.00","0.00","3.00","","0.00","0.00","0.00","","2.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"киров десерт","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.50","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"кафе шумовка киров начальник","2019-07-01 - 2019-09-09","2.00","0.00","0.00","5.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"удоны киров доставка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"доставка супа киров круглосуточно","2019-07-01 - 2019-09-09","2.00","0.00","0.00","2.50","","0.00","0.00","0.00","","2.00","0.00","0.00","2.50","","0.00","0.00","","","","0.00","0.00","","",""
"заказ чебуреки","2019-07-01 - 2019-09-09","2.00","0.00","0.00","2.50","","0.00","0.00","0.00","","2.00","0.00","0.00","2.50","","0.00","0.00","","","","0.00","0.00","","",""
"заказать супчик","2019-07-01 - 2019-09-09","2.00","0.00","0.00","2.00","","0.00","0.00","0.00","","2.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"где в кирове можно заказать еду с доставкой","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.50","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"вкусные домашние пельмени киров купить","2019-07-01 - 2019-09-09","2.00","1.00","50.00","2.00","3.00","0.00","1.00","0.00","0.00","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"пельмени домашние цена киров","2019-07-01 - 2019-09-09","2.00","1.00","50.00","3.50","4.00","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"чебуреки те самые киров адреса","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.50","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","13.00",""
"салаты кировского","2019-07-01 - 2019-09-09","2.00","0.00","0.00","2.00","","0.00","0.00","0.00","","2.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказать на дом обед киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"салаты киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","3.50","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"вятский чебурек киров официальный сайт","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","0.00","0.00","","",""
"заказать вкусную еду","2019-07-01 - 2019-09-09","2.00","0.00","0.00","12.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","12.50",""
"пицца на заказ в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"кировский салаты","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"блинчики с доставкой киров","2019-07-01 - 2019-09-09","2.00","1.00","50.00","1.00","1.00","0.00","2.00","1.00","50.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"доставка китайской лапши киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"еда на вынос","2019-07-01 - 2019-09-09","2.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"киров шумовка адреса","2019-07-01 - 2019-09-09","2.00","0.00","0.00","5.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"чебуреки заказать с доставкой","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","0.00","0.00","","",""
"шамовка киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","1.00","","0.00","2.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"заказать удон кирово чепецк","2019-07-01 - 2019-09-09","2.00","0.00","0.00","15.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","15.00",""
"вятская чебурек","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.50",""
"калинина,40 столовая","2019-07-01 - 2019-09-09","2.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","12.00",""
"народная доставка еды киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","5.50","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"пельмени полячок киров","2019-07-01 - 2019-09-09","2.00","1.00","50.00","7.00","7.00","0.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","7.00","7.00","0.00","0.00","","",""
"чебуреки 43 киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","0.00","0.00","","",""
"вкусные блюда в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"лапша удон доставка киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","1.00","0.00","0.00","11.00",""
"продажа чизкейков в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","14.00",""
"заказать","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"доставки еды в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","16.00",""
"shumovka43","2019-07-01 - 2019-09-09","2.00","2.00","100.00","1.00","1.00","0.00","2.00","2.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"вкусно блин кафе киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","12.00",""
"шумовка киров пицца","2019-07-01 - 2019-09-09","2.00","1.00","50.00","2.00","1.00","0.00","1.00","1.00","100.00","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"лапша вок киров доставка","2019-07-01 - 2019-09-09","2.00","1.00","50.00","11.50","13.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","1.00","100.00","13.00","13.00"
"пельмешь доставка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.50",""
"доставка в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","26.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","26.00",""
"купить роллы в кирове с","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
"меню вятский чебурек киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"людмила с.шумовка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","17.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","17.00",""
"еда на дом меню и цены","2019-07-01 - 2019-09-09","2.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"кафе шумовка киров отзывы","2019-07-01 - 2019-09-09","2.00","1.00","50.00","3.50","3.00","0.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка китайской лапши супов в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","3.00","","0.00","0.00","0.00","","2.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ракоед улица калинина, 40","2019-07-01 - 2019-09-09","2.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","13.00",""
"доставка еда","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","0.00","0.00","","",""
"киров пельменная","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","11.00",""
"киров закат пиццу","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
"вок киров доставка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
"кафе вкусно блин киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","28.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","28.00",""
"пельмени домашние очень вкусные с доставкой кировский район","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.50","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"доставка еды киров салаты","2019-07-01 - 2019-09-09","2.00","0.00","0.00","17.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","17.00",""
"вкусный обед киров доставка меню","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","14.00",""
"чизкейки на заказ киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","4.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"кирова 180 доставка еды","2019-07-01 - 2019-09-09","2.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"заказать пасту на дом в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","1.00","0.00","0.00","11.00",""
"вкусная еда киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","18.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","18.50",""
"доставка еды домой киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"доставка пиццы шумовка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","2.50","","0.00","0.00","0.00","","2.00","0.00","0.00","2.50","","0.00","0.00","","","","0.00","0.00","","",""
"доставка еды спк","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"заказать пиццу г. киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","0.00","0.00","","",""
"киров пицца заказать","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.50",""
"яндекс карты чизкейки киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","12.00",""
"где можно заказать домашнюю еду на дом киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","14.00",""
"заказать еду в кирове с доставкой","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","12.00",""
"чебурек заказать","2019-07-01 - 2019-09-09","2.00","0.00","0.00","8.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","0.00","0.00","","",""
"пицца меню","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"лапша удон киров заказать","2019-07-01 - 2019-09-09","2.00","1.00","50.00","8.00","8.00","0.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","8.00","8.00","0.00","0.00","","",""
"пицца кирова","2019-07-01 - 2019-09-09","2.00","0.00","0.00","17.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","17.00",""
"суп киров доставка","2019-07-01 - 2019-09-09","2.00","1.00","50.00","2.00","2.00","0.00","0.00","0.00","","2.00","1.00","50.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"пицца киров вкусная","2019-07-01 - 2019-09-09","2.00","0.00","0.00","25.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","1.00","0.00","0.00","44.00",""
"сырные палочки киров","2019-07-01 - 2019-09-09","2.00","1.00","50.00","3.00","4.00","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"вкусные роллы с доставкой киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"заказа. пиццу","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"г киров заказ пицца","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"шау43","2019-07-01 - 2019-09-09","2.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"чебуреки оптом киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"пицца киров забрать самому","2019-07-01 - 2019-09-09","2.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"удон с морепродуктами заказать на дом киров","2019-07-01 - 2019-09-09","2.00","1.00","50.00","6.50","5.00","0.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","6.50","5.00","0.00","0.00","","",""
"доставка еды киров рф","2019-07-01 - 2019-09-09","2.00","0.00","0.00","15.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","15.00",""
"где в кирове купить вкусные пельмени","2019-07-01 - 2019-09-09","2.00","1.00","50.00","8.00","8.00","0.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","8.00","8.00","0.00","0.00","","",""
"самые богатые роллы в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","2.00","","0.00","0.00","0.00","","2.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"вкусные кировские пельмени купить в москве","2019-07-01 - 2019-09-09","2.00","0.00","0.00","16.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","16.00",""
"домашняя еда киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"чумовка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка суп киров","2019-07-01 - 2019-09-09","2.00","1.00","50.00","4.00","4.00","0.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","4.00","4.00","0.00","0.00","","",""
"заказать лапшу в кирове","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"шумовка киров доставка","2019-07-01 - 2019-09-09","2.00","1.00","50.00","2.00","2.00","0.00","0.00","0.00","","2.00","1.00","50.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"доставка 43 киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","32.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","32.00",""
"заказать роллы в кирове на дом недорого","2019-07-01 - 2019-09-09","2.00","0.00","0.00","38.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","38.50",""
"пельмени сельские киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","16.50","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","16.50",""
"киров лапша удон заказать","2019-07-01 - 2019-09-09","2.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"чебуреки из детей в кирове в войну","2019-07-01 - 2019-09-09","2.00","0.00","0.00","6.50","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"заказ еды ульяновск в село шумовка","2019-07-01 - 2019-09-09","2.00","0.00","0.00","1.00","","0.00","2.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"еда на заказ","2019-07-01 - 2019-09-09","2.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","13.00",""
"лучшие коробочки с лапшой киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","0.00","0.00","","",""
"киров лапшичная","2019-07-01 - 2019-09-09","2.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"доставка горячей еды вечером киров","2019-07-01 - 2019-09-09","2.00","0.00","0.00","1.00","","0.00","2.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
