"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"паста с доставкой киров","2019-07-04 - 2019-10-04","5.00","0.00","0.00","22.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","22.00",""
"еда с собой киров","2019-07-04 - 2019-10-04","5.00","0.00","0.00","11.80","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","4.00","0.00","0.00","12.25",""
"доставка еды супчик киров","2019-07-04 - 2019-10-04","5.00","0.00","0.00","3.80","","0.00","0.00","","1.00","0.00","0.00","3.00","","4.00","0.00","0.00","4.00","","0.00","0.00","","",""
"десерты доставка киров","2019-07-04 - 2019-10-04","5.00","2.00","40.00","2.80","3.50","0.00","0.00","","4.00","1.00","25.00","2.25","2.00","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"вкусные роллы в кирове","2019-07-04 - 2019-10-04","5.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","3.00","0.00","0.00","13.33",""
"роллы на дом киров","2019-07-04 - 2019-10-04","5.00","0.00","0.00","26.20","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","26.20",""
"киров удон","2019-07-04 - 2019-10-04","5.00","0.00","0.00","8.60","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.60","","0.00","0.00","","",""
"доставка пивных закусок киров","2019-07-04 - 2019-10-04","5.00","1.00","20.00","1.60","4.00","4.00","0.00","0.00","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"чебуречная в кирове","2019-07-04 - 2019-10-04","5.00","1.00","20.00","8.80","8.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","8.25","8.00","1.00","0.00","0.00","11.00",""
"доставка горячих блинов в кирове телефон","2019-07-04 - 2019-10-04","5.00","0.00","0.00","3.00","","0.00","0.00","","5.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"доставка еды киров рф","2019-07-04 - 2019-10-04","5.00","0.00","0.00","11.80","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","3.00","0.00","0.00","14.00",""
"шумовкой","2019-07-04 - 2019-10-04","5.00","0.00","0.00","24.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","3.00","0.00","0.00","33.33",""
"доставка супов киров","2019-07-04 - 2019-10-04","5.00","1.00","20.00","2.00","2.00","0.00","0.00","","5.00","1.00","20.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"киров заказ пиццы","2019-07-04 - 2019-10-04","5.00","0.00","0.00","9.60","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","11.75",""
"заказать роллы в кирове на дом недорого","2019-07-04 - 2019-10-04","5.00","0.00","0.00","35.80","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","35.80",""
"доставка пиццы и роллов киров","2019-07-04 - 2019-10-04","5.00","1.00","20.00","21.80","21.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","1.00","20.00","21.80","21.00"
"киров заказ роллов на дом","2019-07-04 - 2019-10-04","5.00","0.00","0.00","36.20","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","36.20",""
"чизкейк купить в кирове","2019-07-04 - 2019-10-04","5.00","1.00","20.00","8.00","6.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","7.25","6.00","1.00","0.00","0.00","11.00",""
"киров , кировская область заморозка полуфабрикаты оптом чебуреки, пиццы","2019-07-04 - 2019-10-04","5.00","0.00","0.00","9.60","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","9.60","","0.00","0.00","","",""
"наш хмель киров калинина 40","2019-07-04 - 2019-10-04","5.00","0.00","0.00","9.20","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.00","","2.00","0.00","0.00","11.00",""
"чебуречные в кирове","2019-07-04 - 2019-10-04","5.00","0.00","0.00","4.80","","0.00","0.00","","1.00","0.00","0.00","3.00","","4.00","0.00","0.00","5.25","","0.00","0.00","","",""
"чизкейковая киров","2019-07-04 - 2019-10-04","5.00","0.00","0.00","9.80","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.25","","1.00","0.00","0.00","12.00",""
"быстрая доставка еды киров","2019-07-04 - 2019-10-04","5.00","0.00","0.00","5.60","","0.00","0.00","","3.00","0.00","0.00","2.67","","2.00","0.00","0.00","10.00","","0.00","0.00","","",""
"где заказать пиццу в кирове","2019-07-04 - 2019-10-04","5.00","0.00","0.00","9.60","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","4.00","0.00","0.00","11.50",""
"обеды киров","2019-07-04 - 2019-10-04","5.00","2.00","40.00","6.40","6.00","0.00","0.00","","0.00","0.00","","","","5.00","2.00","40.00","6.40","6.00","0.00","0.00","","",""
"доставка горячих обедов киров","2019-07-04 - 2019-10-04","5.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","6.25","","1.00","0.00","0.00","15.00",""
"пицца 30 см","2019-07-04 - 2019-10-04","5.00","0.00","0.00","3.40","","0.00","0.00","","3.00","0.00","0.00","2.67","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"еда на вынос","2019-07-04 - 2019-10-04","5.00","0.00","0.00","5.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","4.00","0.00","0.00","5.75","","0.00","0.00","","",""
"киров пельменная","2019-07-04 - 2019-10-04","5.00","0.00","0.00","11.20","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","4.00","0.00","0.00","11.75",""
"чебуреки доставка киров","2019-07-04 - 2019-10-04","5.00","4.00","80.00","4.00","3.00","0.00","0.00","","3.00","4.00","133.33","3.00","3.00","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"киров кафе шумовка","2019-07-04 - 2019-10-04","5.00","0.00","0.00","2.40","","2.00","0.00","0.00","2.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"пицца с доставкой в кирове","2019-07-04 - 2019-10-04","5.00","0.00","0.00","7.80","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","7.80","","0.00","0.00","","",""
"доставка +на дом киров 207","2019-07-04 - 2019-10-04","5.00","0.00","0.00","42.80","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","42.80",""
"домашняя еда с доставкой киров","2019-07-04 - 2019-10-04","5.00","0.00","0.00","7.60","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","6.75","","1.00","0.00","0.00","11.00",""
"заказать роллы в кирове на дом","2019-07-04 - 2019-10-04","5.00","0.00","0.00","29.60","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","5.00","0.00","0.00","29.60",""
"заказ еды в кирове на дом","2019-07-04 - 2019-10-04","5.00","0.00","0.00","8.60","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.60","","0.00","0.00","","",""
"еда на вынос киров","2019-07-04 - 2019-10-04","5.00","0.00","0.00","3.20","","1.00","0.00","0.00","2.00","0.00","0.00","3.00","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"вкусные чебуреки в кирове","2019-07-04 - 2019-10-04","5.00","0.00","0.00","5.40","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","5.40","","0.00","0.00","","",""
"доставка чизкейков киров","2019-07-04 - 2019-10-04","5.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","5.00","","0.00","0.00","","",""
"доставка горячей еды киров","2019-07-04 - 2019-10-04","5.00","1.00","20.00","7.00","4.00","0.00","0.00","","0.00","0.00","","","","5.00","1.00","20.00","7.00","4.00","0.00","0.00","","",""
"https://shymovka43.ru/menu/+78332416646","2019-07-04 - 2019-10-04","4.00","1.00","25.00","3.75","2.00","1.00","0.00","0.00","1.00","1.00","100.00","2.00","2.00","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"киров роллы на заказ","2019-07-04 - 2019-10-04","4.00","0.00","0.00","12.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","12.50",""
"foodcity43","2019-07-04 - 2019-10-04","4.00","0.00","0.00","11.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","11.50",""
"где заказать роллы в кирове","2019-07-04 - 2019-10-04","4.00","0.00","0.00","25.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","3.00","0.00","0.00","30.33",""
"шумовка киров калинина меню","2019-07-04 - 2019-10-04","4.00","1.00","25.00","2.00","2.00","0.00","0.00","","4.00","1.00","25.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"доставка пельменей в кирове","2019-07-04 - 2019-10-04","4.00","2.00","50.00","1.75","2.00","2.00","1.00","50.00","2.00","1.00","50.00","2.50","3.00","0.00","0.00","","","","0.00","0.00","","",""
"шумовка калинина 40 телефон","2019-07-04 - 2019-10-04","4.00","0.00","0.00","5.25","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","5.25","","0.00","0.00","","",""
"заказать чебуреки с доставкой в кирове","2019-07-04 - 2019-10-04","4.00","2.00","50.00","1.75","2.50","3.00","1.00","33.33","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"роллы заказать на дом киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","32.75","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","32.75",""
"шумовка улица калинина, 40","2019-07-04 - 2019-10-04","4.00","0.00","0.00","2.75","","0.00","0.00","","3.00","0.00","0.00","2.33","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка обедов на дом киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","16.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","3.00","0.00","0.00","18.67",""
"калинина 40 киров столовая","2019-07-04 - 2019-10-04","4.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","7.67","","1.00","0.00","0.00","11.00",""
"роллы киров заказ","2019-07-04 - 2019-10-04","4.00","0.00","0.00","8.25","","0.00","0.00","","1.00","0.00","0.00","2.00","","2.00","0.00","0.00","9.00","","1.00","0.00","0.00","13.00",""
"блины в кирове","2019-07-04 - 2019-10-04","4.00","0.00","0.00","10.25","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"чебуречные киров","2019-07-04 - 2019-10-04","4.00","1.00","25.00","8.00","8.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","8.00","8.00","0.00","0.00","","",""
"shumovka_","2019-07-04 - 2019-10-04","4.00","0.00","0.00","4.75","","1.00","0.00","0.00","0.00","0.00","","","","3.00","0.00","0.00","6.00","","0.00","0.00","","",""
"десерт киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","6.50","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","6.50","","0.00","0.00","","",""
"доставка в кирове","2019-07-04 - 2019-10-04","4.00","0.00","0.00","20.25","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","20.25",""
"bbq киров доставка","2019-07-04 - 2019-10-04","4.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.67","","1.00","0.00","0.00","12.00",""
"киров блинная","2019-07-04 - 2019-10-04","4.00","0.00","0.00","16.25","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","16.25",""
"блинные в кирове","2019-07-04 - 2019-10-04","4.00","0.00","0.00","10.25","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"wok лапша киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","12.25","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","12.25",""
"пицца киров бесплатная доставка","2019-07-04 - 2019-10-04","4.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.50","","0.00","0.00","","",""
"заказ еды шумовка","2019-07-04 - 2019-10-04","4.00","1.00","25.00","2.25","2.00","0.00","0.00","","4.00","1.00","25.00","2.25","2.00","0.00","0.00","","","","0.00","0.00","","",""
"заказать пиццу на дом","2019-07-04 - 2019-10-04","4.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.00","","0.00","0.00","","",""
"доставка еды в кирове на дом","2019-07-04 - 2019-10-04","4.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","7.00","","0.00","0.00","","",""
"доставка готовой еды на дом","2019-07-04 - 2019-10-04","4.00","0.00","0.00","18.75","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","18.75",""
"чебуреки 43 киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","8.75","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.75","","0.00","0.00","","",""
"минимальная сумма доставки еды в кирове","2019-07-04 - 2019-10-04","4.00","1.00","25.00","2.50","3.00","1.00","0.00","0.00","3.00","1.00","33.33","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"где купить чизкейк киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","7.75","","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","5.00","","2.00","0.00","0.00","11.50",""
"заказ пиццы на дом","2019-07-04 - 2019-10-04","4.00","0.00","0.00","9.25","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.25","","0.00","0.00","","",""
"суп киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","5.50","","0.00","0.00","","",""
"41-66-46","2019-07-04 - 2019-10-04","4.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","2.00","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"кафе шумовка киров работа","2019-07-04 - 2019-10-04","4.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","5.00","","0.00","0.00","","",""
"обеды в офис с доставкой киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","16.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","3.00","0.00","0.00","20.67",""
"доставка еды киров 24 часа","2019-07-04 - 2019-10-04","4.00","0.00","0.00","20.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","20.50",""
"шумовка43","2019-07-04 - 2019-10-04","4.00","0.00","0.00","3.25","","0.00","0.00","","3.00","0.00","0.00","2.67","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"шумовка киров кафе","2019-07-04 - 2019-10-04","4.00","4.00","100.00","2.00","2.00","0.00","0.00","","4.00","4.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"обеды киров доставка","2019-07-04 - 2019-10-04","4.00","1.00","25.00","4.50","4.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","4.50","4.00","0.00","0.00","","",""
"хомяк доставка еды киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","19.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","3.00","0.00","0.00","22.33",""
"салаты киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","2.25","","2.00","0.00","0.00","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка еды киров шумовка","2019-07-04 - 2019-10-04","4.00","3.00","75.00","1.50","1.67","2.00","1.00","50.00","2.00","2.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"заказать лапшу киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.00","","0.00","0.00","","",""
"удон доставка киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.50","","0.00","0.00","","",""
"вок киров доставка","2019-07-04 - 2019-10-04","4.00","0.00","0.00","12.25","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","12.25",""
"фуд сити 43","2019-07-04 - 2019-10-04","4.00","0.00","0.00","11.75","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","11.75",""
"заказ лапши киров","2019-07-04 - 2019-10-04","4.00","1.00","25.00","9.25","4.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","3.00","0.00","0.00","11.00",""
"картошка фри киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","2.00","0.00","0.00","13.50",""
"чебуреки в кирове","2019-07-04 - 2019-10-04","4.00","1.00","25.00","4.25","4.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","4.25","4.00","0.00","0.00","","",""
"пицца на дом киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","14.75","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","2.00","0.00","0.00","20.00",""
"лапша удон купить в кирове","2019-07-04 - 2019-10-04","4.00","0.00","0.00","10.75","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","10.00","","2.00","0.00","0.00","11.50",""
"удон в кирове","2019-07-04 - 2019-10-04","4.00","0.00","0.00","8.25","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.25","","0.00","0.00","","",""
"пивная тарелка","2019-07-04 - 2019-10-04","4.00","1.00","25.00","5.00","7.00","0.00","0.00","","1.00","0.00","0.00","3.00","","3.00","1.00","33.33","5.67","7.00","0.00","0.00","","",""
"пельменные киров","2019-07-04 - 2019-10-04","4.00","1.00","25.00","8.50","8.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","8.50","8.00","0.00","0.00","","",""
"заказать вок лапшу киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.67","","1.00","0.00","0.00","11.00",""
"заказать лапшу в коробочках киров","2019-07-04 - 2019-10-04","4.00","1.00","25.00","7.25","7.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","7.25","7.00","0.00","0.00","","",""
"заказ еды в кирове с бесплатной доставкой","2019-07-04 - 2019-10-04","4.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","2.00","0.00","0.00","12.00",""
"доставка еду киров","2019-07-04 - 2019-10-04","4.00","0.00","0.00","6.25","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","6.25","","0.00","0.00","","",""
"заказать еду","2019-07-04 - 2019-10-04","4.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.50","","0.00","0.00","","",""
"доставка обедов в офис город киров в вк","2019-07-04 - 2019-10-04","4.00","0.00","0.00","11.75","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","3.00","0.00","0.00","12.33",""
"киров заказ чебуреков","2019-07-04 - 2019-10-04","4.00","1.00","25.00","4.75","5.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","4.75","5.00","0.00","0.00","","",""
"доставка обедов","2019-07-04 - 2019-10-04","4.00","1.00","25.00","13.00","19.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","2.00","1.00","50.00","20.00","19.00"
"заказать пиццу в кирове на дом круглосуточно","2019-07-04 - 2019-10-04","4.00","0.00","0.00","18.75","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","18.75",""
"пельмени купить в кирове","2019-07-04 - 2019-10-04","3.00","1.00","33.33","2.67","5.00","1.00","0.00","0.00","1.00","0.00","0.00","2.00","","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"киров доставка пиццы","2019-07-04 - 2019-10-04","3.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.50","","1.00","0.00","0.00","14.00",""
"горячий чебурек киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","4.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","4.33","","0.00","0.00","","",""
"сушилка киров официальный сайт киров доставка","2019-07-04 - 2019-10-04","3.00","0.00","0.00","24.33","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","2.00","0.00","0.00","35.00",""
"заказ салатов на вес киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","0.00","0.00","","",""
"доставка еды в кирове супчик","2019-07-04 - 2019-10-04","3.00","0.00","0.00","2.33","","0.00","0.00","","3.00","0.00","0.00","2.33","","0.00","0.00","","","","0.00","0.00","","",""
"киров доставка нжы.","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.33","","0.00","0.00","","",""
"пельмень-бар киров акции","2019-07-04 - 2019-10-04","3.00","0.00","0.00","11.33","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","11.33",""
"кирова блины","2019-07-04 - 2019-10-04","3.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","10.00","","0.00","0.00","","",""
"доставка вок лапши в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","8.67","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","1.00","0.00","0.00","14.00",""
"пицца киров с бесплатной доставкой","2019-07-04 - 2019-10-04","3.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказ вкусной еды домой на праздник","2019-07-04 - 2019-10-04","3.00","0.00","0.00","12.33","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","12.33",""
"киров доставка еды на дом круглосуточно","2019-07-04 - 2019-10-04","3.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","1.00","0.00","0.00","12.00",""
"заказ на дом киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.67","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.50","","1.00","0.00","0.00","11.00",""
"горячая еда киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","5.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","5.33","","0.00","0.00","","",""
"самые вкусные чебуреки киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","0.00","0.00","","",""
"пицца на вынос киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","4.00","","0.00","0.00","","",""
"шумовка доставка киров","2019-07-04 - 2019-10-04","3.00","3.00","100.00","1.33","1.33","2.00","2.00","100.00","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"шумовка улица калинина 40","2019-07-04 - 2019-10-04","3.00","0.00","0.00","2.00","","0.00","0.00","","3.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"доставка еды город киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","13.33","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","13.33",""
"кировский чебурек","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.67","","0.00","0.00","","",""
"доставка рамен киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","7.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","7.67","","0.00","0.00","","",""
"ип михеев киров лапша ,соевый соус","2019-07-04 - 2019-10-04","3.00","1.00","33.33","3.00","3.00","0.00","0.00","","3.00","1.00","33.33","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"уни пельмени кировская область","2019-07-04 - 2019-10-04","3.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","2.50","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"шаурма киров калинина 40","2019-07-04 - 2019-10-04","3.00","0.00","0.00","7.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","7.67","","0.00","0.00","","",""
"блинная киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","12.00",""
"вкусная пицца в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","29.67","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","2.00","0.00","0.00","40.50",""
"заказать салаты в кирове с бесплатной доставкой","2019-07-04 - 2019-10-04","3.00","1.00","33.33","2.00","2.00","0.00","0.00","","3.00","1.00","33.33","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"шаушка киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","0.00","0.00","","",""
"заказ пиццы на дом киров","2019-07-04 - 2019-10-04","3.00","0.00","0.00","18.33","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","18.33",""
"вок лапша киров доставка","2019-07-04 - 2019-10-04","3.00","0.00","0.00","8.33","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","1.00","0.00","0.00","11.00",""
"где можно заказать сырный суп в кирове","2019-07-04 - 2019-10-04","3.00","1.00","33.33","2.67","3.00","0.00","0.00","","3.00","1.00","33.33","2.67","3.00","0.00","0.00","","","","0.00","0.00","","",""
"кафе столовая на калинина 40","2019-07-04 - 2019-10-04","3.00","0.00","0.00","6.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.67","","0.00","0.00","","",""
"готовая еда с доставкой на дом","2019-07-04 - 2019-10-04","3.00","1.00","33.33","6.33","5.00","0.00","0.00","","0.00","0.00","","","","3.00","1.00","33.33","6.33","5.00","0.00","0.00","","",""
"пицца купить в кирове","2019-07-04 - 2019-10-04","3.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","2.00","0.00","0.00","11.50",""
"доставка лапши wok киров","2019-07-04 - 2019-10-04","3.00","3.00","100.00","9.33","9.33","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","2.00","2.00","100.00","12.00","12.00"
